PMB Code,PMB Description,Treatment Component,ICD10 Code,ICD10 Description,Comments
950A,"Benign and malignant brain tumours, treatable",Medical and surgical management which includes radiation therapy and chemotherapy ,C72.8+G13.1*,"Malignant neoplasm, overlapping lesion of brain and other parts of central nervous system/Other systemic atrophy primarily affecting central nervous system in neoplastic disease",
950A,"Benign and malignant brain tumours, treatable",Medical and surgical management which includes radiation therapy and chemotherapy ,C72.9,"Malignant neoplasm, central nervous system, unspecified",
950A,"Benign and malignant brain tumours, treatable",Medical and surgical management which includes radiation therapy and chemotherapy ,C72.9+D63.0*,"Malignant neoplasm, central nervous system, unspecified/Anaemia in neoplastic disease (C00-D48+)",
950A,"Benign and malignant brain tumours, treatable",Medical and surgical management which includes radiation therapy and chemotherapy ,C72.9+G13.0*,"Malignant neoplasm, central nervous system, unspecified/Paraneoplastic neuromyopathy and neuropathy",
950A,"Benign and malignant brain tumours, treatable",Medical and surgical management which includes radiation therapy and chemotherapy ,C72.9+G13.1*,"Malignant neoplasm, central nervous system, unspecified/Other systemic atrophy primarily affecting central nervous system in neoplastic disease",
950A,"Benign and malignant brain tumours, treatable",Medical and surgical management which includes radiation therapy and chemotherapy ,C79.3,Secondary malignant neoplasm of brain and cerebral meninges,Expanatory Note Conditions apply
950A,"Benign and malignant brain tumours, treatable",Medical and surgical management which includes radiation therapy and chemotherapy ,C79.3+D63.0*,Secondary malignant neoplasm of brain and cerebral meninges/Anaemia in neoplastic disease (C00-D48+),Expanatory Note Conditions apply
950A,"Benign and malignant brain tumours, treatable",Medical and surgical management which includes radiation therapy and chemotherapy ,C79.3+G13.0*,Secondary malignant neoplasm of brain and cerebral meninges/Paraneoplastic neuromyopathy and neuropathy,Expanatory Note Conditions apply
950A,"Benign and malignant brain tumours, treatable",Medical and surgical management which includes radiation therapy and chemotherapy ,C79.3+G13.1*,Secondary malignant neoplasm of brain and cerebral meninges/Other systemic atrophy primarily affecting central nervous system in neoplastic disease,Expanatory Note Conditions apply
950A,"Benign and malignant brain tumours, treatable",Medical and surgical management which includes radiation therapy and chemotherapy ,D32.0,"Benign neoplasm, cerebral meninges",
950A,"Benign and malignant brain tumours, treatable",Medical and surgical management which includes radiation therapy and chemotherapy ,D32.0+D63.0*,"Benign neoplasm, cerebral meninges/Anaemia in neoplastic disease (C00-D48+)",
950A,"Benign and malignant brain tumours, treatable",Medical and surgical management which includes radiation therapy and chemotherapy ,D32.0+G13.0*,"Benign neoplasm, cerebral meninges/Paraneoplastic neuromyopathy and neuropathy",
950A,"Benign and malignant brain tumours, treatable",Medical and surgical management which includes radiation therapy and chemotherapy ,D32.0+G13.1*,"Benign neoplasm, cerebral meninges/Other systemic atrophy primarily affecting central nervous system in neoplastic disease",
950A,"Benign and malignant brain tumours, treatable",Medical and surgical management which includes radiation therapy and chemotherapy ,D32.1,"Benign neoplasm, spinal meninges",
950A,"Benign and malignant brain tumours, treatable",Medical and surgical management which includes radiation therapy and chemotherapy ,D32.1+D63.0*,"Benign neoplasm, spinal meninges/Anaemia in neoplastic disease (C00-D48+)",
950A,"Benign and malignant brain tumours, treatable",Medical and surgical management which includes radiation therapy and chemotherapy ,D32.1+G13.0*,"Benign neoplasm, spinal meninges/Paraneoplastic neuromyopathy and neuropathy",
950A,"Benign and malignant brain tumours, treatable",Medical and surgical management which includes radiation therapy and chemotherapy ,D32.1+G13.1*,"Benign neoplasm, spinal meninges/Other systemic atrophy primarily affecting central nervous system in neoplastic disease",
950A,"Benign and malignant brain tumours, treatable",Medical and surgical management which includes radiation therapy and chemotherapy ,D32.9,"Benign neoplasm, meninges, unspecified",
950A,"Benign and malignant brain tumours, treatable",Medical and surgical management which includes radiation therapy and chemotherapy ,D32.9+D63.0*,"Benign neoplasm, meninges, unspecified/Anaemia in neoplastic disease (C00-D48+)",
950A,"Benign and malignant brain tumours, treatable",Medical and surgical management which includes radiation therapy and chemotherapy ,D32.9+G13.0*,"Benign neoplasm, meninges, unspecified/Paraneoplastic neuromyopathy and neuropathy",
950A,"Benign and malignant brain tumours, treatable",Medical and surgical management which includes radiation therapy and chemotherapy ,D32.9+G13.1*,"Benign neoplasm, meninges, unspecified/Other systemic atrophy primarily affecting central nervous system in neoplastic disease",
950A,"Benign and malignant brain tumours, treatable",Medical and surgical management which includes radiation therapy and chemotherapy ,D33.0,"Benign neoplasm, brain, supratentorial",
950A,"Benign and malignant brain tumours, treatable",Medical and surgical management which includes radiation therapy and chemotherapy ,D33.0+D63.0*,"Benign neoplasm, brain, supratentorial/Anaemia in neoplastic disease (C00-D48+)",
950A,"Benign and malignant brain tumours, treatable",Medical and surgical management which includes radiation therapy and chemotherapy ,D33.0+G13.0*,"Benign neoplasm, brain, supratentorial/Paraneoplastic neuromyopathy and neuropathy",
950A,"Benign and malignant brain tumours, treatable",Medical and surgical management which includes radiation therapy and chemotherapy ,D33.0+G13.1*,"Benign neoplasm, brain, supratentorial/Other systemic atrophy primarily affecting central nervous system in neoplastic disease",
950A,"Benign and malignant brain tumours, treatable",Medical and surgical management which includes radiation therapy and chemotherapy ,D33.1,"Benign neoplasm, brain, infratentorial",
950A,"Benign and malignant brain tumours, treatable",Medical and surgical management which includes radiation therapy and chemotherapy ,D33.1+D63.0*,"Benign neoplasm, brain, infratentorial/Anaemia in neoplastic disease (C00-D48+)",
950A,"Benign and malignant brain tumours, treatable",Medical and surgical management which includes radiation therapy and chemotherapy ,D33.1+G13.0*,"Benign neoplasm, brain, infratentorial/Paraneoplastic neuromyopathy and neuropathy",
950A,"Benign and malignant brain tumours, treatable",Medical and surgical management which includes radiation therapy and chemotherapy ,D33.1+G13.1*,"Benign neoplasm, brain, infratentorial/Other systemic atrophy primarily affecting central nervous system in neoplastic disease",
950A,"Benign and malignant brain tumours, treatable",Medical and surgical management which includes radiation therapy and chemotherapy ,D33.2,"Benign neoplasm, brain, unspecified",
950A,"Benign and malignant brain tumours, treatable",Medical and surgical management which includes radiation therapy and chemotherapy ,D33.2+D63.0*,"Benign neoplasm, brain, unspecified/Anaemia in neoplastic disease (C00-D48+)",
950A,"Benign and malignant brain tumours, treatable",Medical and surgical management which includes radiation therapy and chemotherapy ,D33.2+G13.0*,"Benign neoplasm, brain, unspecified/Paraneoplastic neuromyopathy and neuropathy",
950A,"Benign and malignant brain tumours, treatable",Medical and surgical management which includes radiation therapy and chemotherapy ,D33.2+G13.1*,"Benign neoplasm, brain, unspecified/Other systemic atrophy primarily affecting central nervous system in neoplastic disease",
950A,"Benign and malignant brain tumours, treatable",Medical and surgical management which includes radiation therapy and chemotherapy ,D33.3,"Benign neoplasm, cranial nerves",
950A,"Benign and malignant brain tumours, treatable",Medical and surgical management which includes radiation therapy and chemotherapy ,D33.3+D63.0*,"Benign neoplasm, cranial nerves/Anaemia in neoplastic disease (C00-D48+)",
